FLYER_ID;SUM_OF_POINTS_LT;SUM_OF_POINTS_12;NUM_OF_ACTIVITY_LT;NUM_OF_ACTIVITY_12;MEMBERSHIP_IN_MONTHS;NUM_OF_OWN_FLIGHT;NUM_OF_NONAIR_ACT;ACT_TYPE_CNT
0;105;105;1;1;6;1;0;1
0;1540;1540;1;1;7;1;0;1
0;0;;1;0;16;1;0;1
0;274;;1;0;21;1;0;1
0;99;;1;0;31;1;0;1
0;566;566;1;1;0;1;0;1
0;669;;2;0;22;2;0;1
0;146;146;1;1;0;1;0;1
0;166;;1;0;24;1;0;1
0;441;441;1;1;11;1;0;1
0;0;;2;0;21;2;0;1
0;23;23;1;1;7;1;0;1
0;0;;1;0;19;1;0;1
0;105;;1;0;30;1;0;1
0;106;106;1;1;11;1;0;1
0;0;;1;0;22;1;0;1
0;456;;1;0;28;1;0;1
0;535;535;2;2;0;2;0;1
0;585;;1;0;13;1;0;1
0;139;139;1;1;7;1;0;1
0;48;;1;0;22;1;0;1
0;0;;1;0;13;1;0;1
0;2338;2338;1;1;4;1;0;1
0;602;;1;0;23;1;0;1
0;419;;1;0;24;1;0;1
0;132;132;1;1;0;0;0;1
0;254;;1;0;18;1;0;1
0;112;;1;0;15;1;0;1
0;75;75;1;1;4;1;0;1
0;0;;1;0;21;1;0;1
0;0;;1;0;24;1;0;1
0;825;;1;0;19;1;0;1
0;146;146;1;1;1;1;0;1
0;21;21;1;1;3;1;0;1
0;56;56;1;1;9;1;0;1
0;71;71;1;1;0;1;0;1
0;360;;1;0;13;1;0;1
0;0;;1;0;27;1;0;1
0;74;74;1;1;0;1;0;1
0;0;;1;0;32;1;0;1
0;144;;1;0;31;1;0;1
0;255;;1;0;33;1;0;1
0;452;;1;0;26;1;0;1
0;216;216;2;2;4;2;0;1
0;0;;1;0;23;1;0;1
0;191;;1;0;31;1;0;1
0;270;;1;0;16;1;0;1
0;0;;1;0;19;1;0;1
0;657;;1;0;28;1;0;1
0;148;;1;0;24;1;0;1
0;314;;1;0;29;1;0;1
0;0;;2;0;21;2;0;1
0;148;148;1;1;3;1;0;1
0;575;575;1;1;4;1;0;1
0;0;0;2;2;11;2;0;1
0;480;480;2;2;8;2;0;1
0;1162;;2;0;31;2;0;1
0;270;;1;0;27;1;0;1
0;286;;2;0;21;2;0;1
0;64;64;1;1;6;1;0;1
0;573;;1;0;30;1;0;1
0;0;;1;0;22;1;0;1
0;1058;1058;3;3;6;3;0;1
0;418;;1;0;25;1;0;1
0;278;278;2;2;6;2;0;1
0;274;274;1;1;4;1;0;1
0;588;;1;0;26;1;0;1
0;144;;2;0;16;2;0;1
0;855;;1;0;30;1;0;1
0;0;;2;0;20;2;0;1
0;274;;1;0;12;1;0;1
0;1230;1230;3;3;11;3;0;1
0;0;;1;0;15;1;0;1
0;340;340;1;1;0;1;0;1
0;166;166;1;1;9;1;0;1
0;0;;1;0;25;1;0;1
0;2175;2175;3;3;11;3;0;1
0;0;;1;0;20;1;0;1
0;0;;1;0;28;1;0;1
0;628;;2;0;17;2;0;1
0;44;44;1;1;6;1;0;1
0;419;;1;0;15;1;0;1
0;0;;1;0;27;1;0;1
0;27;27;1;1;6;1;0;1
0;28;28;1;1;6;1;0;1
0;602;;1;0;32;1;0;1
0;872;872;1;1;8;1;0;1
0;0;;1;0;23;1;0;1
0;0;;1;0;32;1;0;1
0;684;;1;0;29;1;0;1
0;44;44;1;1;6;1;0;1
0;40;40;2;2;4;2;0;1
0;186;186;1;1;11;1;0;1
0;144;;2;0;19;2;0;1
0;0;;1;0;15;1;0;1
0;68;;1;0;26;1;0;1
0;274;;1;0;21;1;0;1
0;1115;;5;0;18;5;0;1
0;114;114;1;1;8;1;0;1
